Suburb,Offence Level 1,Offence Level 2,Month,offence_count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,avg_lag_3,std_lag_3,holiday_days,month
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-10-01,1,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-01-01,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.6666666666666667,0.5773502691896257,2,1
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-03-01,2,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4,3
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-04-01,2,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2,4
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-07-01,6,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.3333333333333335,0.5773502691896257,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-10-01,1,6.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.3333333333333335,2.3094010767585034,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-11-01,1,1.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.6457513110645907,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-07-01,6,1.0,7.0,5.0,8.0,8.0,6.0,6.0,7.0,8.0,5.0,4.0,1.0,4.333333333333333,3.0550504633038935,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-08-01,1,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.0,7.0,8.0,5.0,4.0,4.666666666666667,3.2145502536643185,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-09-01,1,1.0,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.0,7.0,8.0,5.0,2.6666666666666665,2.886751345948129,0,9
